# arXiv:2508.05447 -- Pinky, Kumar, Singh & Jain, Features of Two-Quasiparticle Rotational Bands in Deformed Odd-Odd Nuclei
# CAPTURE TOTAL AGAINST THE PAPER'S OWN CENSUS -- entries 234/234, bands 173/173,
# bandhead states 61/61, all exact; 24 blocks against 24 nuclide sections,
# every block contiguous 1..n.  NOT SEATED: a capture is not an index, and
# seating is the overlap ruling's question.  One entry (164-Lu band 4) carries
# a falling spin sequence; it is the SOURCE's, not a missed boundary -- see
# deformed.discontinuities() and section 2e.
seq	A	Z	N	E	2I
187	172	69	103	610	2
188	174	69	105	252	0
189	174	69	105	58.5	2
190	174	69	105	(767	2
191	174	69	105	100.3	6
192	174	69	105	0.0	8
192	174	69	105	106.3	10
192	174	69	105	233.6	12
192	174	69	105	382	14
192	174	69	105	551.1	16
192	174	69	105	740.7	18
192	174	69	105	949.5	20
192	174	69	105	1179.0	22
192	174	69	105	1426.9	24
192	174	69	105	1694.3	26
193	174	69	105	191.5	8
193	174	69	105	288.4	10
193	174	69	105	406.2	12
194	174	69	105	694.6	16
194	174	69	105	858.2	18
194	174	69	105	1038.5	20
194	174	69	105	1237.2	22
194	174	69	105	1455.1	24
194	174	69	105	1690.5	26
194	174	69	105	1947	28
195	174	69	105	496.9	14
195	174	69	105	651.5	16
199	160	71	89	558.5+x	18
199	160	71	89	734.1+x	20
199	160	71	89	810.6+x	22
199	160	71	89	1058.6+x	24
199	160	71	89	1217.8+x	26
199	160	71	89	1522.4+x	28
199	160	71	89	1754.8+x	30
199	160	71	89	2085.4+x	32
199	160	71	89	2371.7+x	34
199	160	71	89	2727.5+x	36
199	160	71	89	3040.8+x	38
199	160	71	89	3426.7+x	40
199	160	71	89	3752.2+x	42
199	160	71	89	4175.5+x	44
199	160	71	89	4520.1+x	46
199	160	71	89	5001.8+x	48
199	160	71	89	5379.8+x	50
200	160	71	89	625.0	16
200	160	71	89	933.2	20
200	160	71	89	1360.7	24
200	160	71	89	1854.4	28
200	160	71	89	2422.4	32
200	160	71	89	3024.2	36
200	160	71	89	3657.0	40
200	160	71	89	4392.0	44
201	160	71	89	0.0+x	12
201	160	71	89	161.3+x	14
201	160	71	89	323.4+x	16
201	160	71	89	463.0+x	18
201	160	71	89	705.7+x	20
201	160	71	89	857.8+x	22
201	160	71	89	1160.6+x	24
201	160	71	89	1337.8+x	26
201	160	71	89	1661.1+x	28
201	160	71	89	1898.3+x	30
202	162	71	91	0.0	2
203	162	71	91	143.8+x	20
203	162	71	91	224.5+x	22
203	162	71	91	420.0+x	24
203	162	71	91	580.5+x	26
203	162	71	91	857.1+x	28
203	162	71	91	1091.3+x	30
203	162	71	91	1417.5+x	32
203	162	71	91	1717.2+x	34
203	162	71	91	2074.0+x	36
203	162	71	91	2426.2+x	38
203	162	71	91	2800.3+x	40
203	162	71	91	3183.1+x	42
203	162	71	91	3547.4+x	44
203	162	71	91	3921.9+x	46
203	162	71	91	4262.2+x	48
203	162	71	91	4634.5+x	50
203	162	71	91	4982.2+x	52
203	162	71	91	5379.8+x	54
203	162	71	91	5751.2+x	56
203	162	71	91	6185.4+x	58
204	164	71	93	0.0	2
205	164	71	93	0+x	20
205	164	71	93	93.4+x	22
205	164	71	93	421.3+x	26
205	164	71	93	658.4+x	28
205	164	71	93	885.0+x	30
205	164	71	93	1170.0+x	32
205	164	71	93	1454.2+x	34
205	164	71	93	1767.2+x	36
205	164	71	93	2099.3+x	38
205	164	71	93	2424.3+x	40
205	164	71	93	2788.1+x	42
205	164	71	93	3111.6+x	44
205	164	71	93	3488.9+x	46
205	164	71	93	3809.4+x	48
205	164	71	93	4197.9+x	50
205	164	71	93	4532.4+x	52
205	164	71	93	4946.3+x	54
205	164	71	93	5307.4+x	56
206	164	71	93	0+x	16
206	164	71	93	104.1+x	18
206	164	71	93	245.1+x	20
206	164	71	93	413.3+x	22
206	164	71	93	623.7+x	24
206	164	71	93	848.5+x	26
206	164	71	93	1115.4+x	28
206	164	71	93	1382.4+x	30
206	164	71	93	1690.1+x	32
206	164	71	93	1988.0+x	34
206	164	71	93	2314.3+x	36
206	164	71	93	2621.4+x	38
206	164	71	93	2919.3+x	40
206	164	71	93	3208.6+x	42
206	164	71	93	3519.2+x	44
206	164	71	93	3836.9+x	46
206	164	71	93	4183.0+x	48
206	164	71	93	4537.5+x	50
206	164	71	93	4920.7+x	52
206	164	71	93	5316.5+x	54
206	164	71	93	(5734.7+x)	56
206	164	71	93	(6196.5+x)	58
207	164	71	93	0+z	46
207	164	71	93	344.4+z	48
207	164	71	93	755.8+z	50
207	164	71	93	1227.9+z	32
207	164	71	93	1747.6+z	36
207	164	71	93	2301.5+z	40
207	164	71	93	2885.9+z	44
208	164	71	93	0+z	18
208	164	71	93	401.8+z	22
208	164	71	93	908.3+z	26
208	164	71	93	1494.1+z	30
208	164	71	93	2127.5+z	34
209	164	71	93	9.0+x	14
209	164	71	93	24.6+x	16
209	164	71	93	128.7+x	18
209	164	71	93	269.3+x	20
209	164	71	93	437.8+x	22
209	164	71	93	647.9+x	24
209	164	71	93	873.0+x	26
209	164	71	93	1139.8+x	28
209	164	71	93	1407.3+x	30
209	164	71	93	1714.5+x	32
209	164	71	93	2013.1+x	34
209	164	71	93	2339.0+x	36
209	164	71	93	2646.4+x	38
210	164	71	93	0+x	14
210	164	71	93	45.0+x	16
210	164	71	93	127.0+x	18
210	164	71	93	199.5+x	20
210	164	71	93	292.6+x	22
210	164	71	93	458.0+x	24
210	164	71	93	620.2+x	26
210	164	71	93	857.1+x	28
210	164	71	93	1083.5+x	30
210	164	71	93	1368.1+x	32
210	164	71	93	1652.5+x	34
210	164	71	93	1965.3+x	36
210	164	71	93	2297.0+x	38
210	164	71	93	2622.1+x	40
211	164	71	93	2161.7+x	28
211	164	71	93	2535.1+x	32
211	164	71	93	2971.6+x	36
211	164	71	93	3468.3+x	40
211	164	71	93	4025.9+x	44
211	164	71	93	4642.6+x	48
211	164	71	93	5317.4+x	52
211	164	71	93	6050.2+x	56
211	164	71	93	6840.0+x	60
211	164	71	93	7687.4+x	64
211	164	71	93	8592.8+x	68
211	164	71	93	9556.8+x	72
211	164	71	93	10580.5+x	76
211	164	71	93	11663.7+x	80
211	164	71	93	12798.9+x	84
211	164	71	93	14018.2+x	88
211	164	71	93	15274.2+x	92
211	164	71	93	16585.2+x	96
211	164	71	93	(17957.3+x)	100
212	164	71	93	2035.3+x	26
212	164	71	93	2389.1+x	30
212	164	71	93	2812.4+x	34
212	164	71	93	3296.4+x	38
212	164	71	93	3842.9+x	42
212	164	71	93	4449.0+x	46
212	164	71	93	5113.4+x	50
212	164	71	93	5834.1+x	54
212	164	71	93	6610.8+x	58
212	164	71	93	7442.4+x	62
212	164	71	93	8328.2+x	66
212	164	71	93	9268.4+x	70
212	164	71	93	10263.4+x	74
212	164	71	93	11313.6+x	78
212	164	71	93	12418.0+x	82
212	164	71	93	13577.9+x	86
212	164	71	93	14788.9+x	90
212	164	71	93	(16065.9+x)	94
212	164	71	93	(17381.9+x)	98
213	166	71	95	0.0	12
214	166	71	95	34.37	6
215	166	71	95	42.9	0
216	166	71	95	57.2	2
217	166	71	95	60.5	6
218	166	71	95	83.5	12
219	166	71	95	136.0	2
220	166	71	95	144.8	12
221	166	71	95	0.0+x	14
221	166	71	95	100.18+x	16
221	166	71	95	235.12+x	18
221	166	71	95	400.4+x	20
221	166	71	95	595.4+x	22
221	166	71	95	813.1+x	24
221	166	71	95	1058.4+x	26
221	166	71	95	1319.6+x	28
221	166	71	95	1606.4+x	30
221	166	71	95	1902.7+x	32
221	166	71	95	2222.2+x	34
221	166	71	95	2544.7+x	36
221	166	71	95	2873.6+x	38
221	166	71	95	3234.4+x	40
221	166	71	95	3576.6+x	42
221	166	71	95	3953.5+x	44
221	166	71	95	4323.9+x	46
222	166	71	95	0.0+y	16
222	166	71	95	53.8+y	18
222	166	71	95	138.5+y	20
222	166	71	95	250.3+y	22
222	166	71	95	405.3+y	24
222	166	71	95	578.2+y	26
222	166	71	95	793.2+y	28
222	166	71	95	1022.1+y	30
222	166	71	95	1283.4+y	32
222	166	71	95	1564.9+y	34
222	166	71	95	1859.5+y	36
222	166	71	95	2189.7+y	38
222	166	71	95	2506.7+y	40
222	166	71	95	2878.0+y	42
222	166	71	95	3204.9+y	44
222	166	71	95	3923.7+y	48
223	166	71	95	0.0+u	16
223	166	71	95	147.6+u	18
223	166	71	95	229.7+u	20
223	166	71	95	428.3+u	22
223	166	71	95	548.8+u	24
223	166	71	95	787.5+u	26
223	166	71	95	964.7+u	28
223	166	71	95	1230.0+u	30
223	166	71	95	1474.9+u	32
223	166	71	95	1752.4+u	34
223	166	71	95	2070.1+u	36
223	166	71	95	2350.2+u	38
223	166	71	95	2737.7+u	40
223	166	71	95	3015.9+u	42
223	166	71	95	3458.2+u	44
223	166	71	95	3744.4+u	46
223	166	71	95	4230.7+u	48
224	166	71	95	0.0+u	16
224	166	71	95	130.6+u	18
224	166	71	95	287.0+u	20
224	166	71	95	470.4+u	22
224	166	71	95	690.7+u	24
224	166	71	95	929.0+u	26
224	166	71	95	1198.1+u	28
224	166	71	95	1486.5+u	30
224	166	71	95	1786.1+u	32
224	166	71	95	2114.5+u	34
225	166	71	95	0.0+z	12
225	166	71	95	139.3+z	16
225	166	71	95	394.7+z	20
225	166	71	95	764.1+z	24
225	166	71	95	1235.1+z	28
225	166	71	95	1792.2+z	32
225	166	71	95	2415.6+z	36
225	166	71	95	3085.6+z	40
225	166	71	95	3774.6+z	44
226	168	71	97	0	12
226	168	71	97	146.3	14
226	168	71	97	313.0	16
226	168	71	97	512.3	18
227	168	71	97	220(130)	6
228	168	71	97	27.2	12
228	168	71	97	91.6	14
228	168	71	97	170.8	16
228	168	71	97	284.8	18
228	168	71	97	429.0	20
228	168	71	97	599.2	22
228	168	71	97	792.3	24
228	168	71	97	1007.4	26
228	168	71	97	1240.3	28
228	168	71	97	1493.3	30
228	168	71	97	1758.2	32
228	168	71	97	2043.0	34
228	168	71	97	2332.2	36
228	168	71	97	2642.9	38
228	168	71	97	2949.0	40
228	168	71	97	3281.5	42
228	168	71	97	3602.2	44
228	168	71	97	3955.8	46
228	168	71	97	4295.9	48
228	168	71	97	4674.4	50
228	168	71	97	5043.1	52
228	168	71	97	5449.3	54
228	168	71	97	5852.7	56
228	168	71	97	6289.5	58
228	168	71	97	6728.8	60
228	168	71	97	7197.2	62
228	168	71	97	7671.3	64
228	168	71	97	8171.2	66
228	168	71	97	8676.6	68
228	168	71	97	9215.9	70
228	168	71	97	9736.2	72
228	168	71	97	10311.2	74
228	168	71	97	10818.2	76
228	168	71	97	11457.8	78
228	168	71	97	11901.2	80
228	168	71	97	12637.9	82
228	168	71	97	13030.2	84
228	168	71	97	14206.2	88
229	168	71	97	192.1	12
229	168	71	97	273.2	14
229	168	71	97	336.5	16
229	168	71	97	467.6	18
229	168	71	97	554.7	20
229	168	71	97	743.3	22
229	168	71	97	858.2	24
229	168	71	97	1102.5	26
229	168	71	97	1251.2	28
229	168	71	97	1541.3	30
229	168	71	97	1733.0	32
229	168	71	97	2054.1	34
229	168	71	97	2297.8	36
229	168	71	97	2640.6	38
229	168	71	97	2933.4	40
229	168	71	97	3282.1	42
229	168	71	97	3642.3	44
229	168	71	97	3958.9	46
229	168	71	97	4406.0	48
229	168	71	97	4666.4	50
229	168	71	97	5222.0	52
229	168	71	97	5426.8	54
229	168	71	97	6085.1	56
229	168	71	97	6250.3	58
229	168	71	97	6992.1	60
229	168	71	97	7146.9	62
229	168	71	97	7946.4	64
229	168	71	97	8117.4	66
229	168	71	97	8953.5	68
229	168	71	97	9158.7	70
229	168	71	97	10025.9	72
229	168	71	97	10262.1	74
230	168	71	97	489.0	18
230	168	71	97	600.0	20
230	168	71	97	730.5	22
230	168	71	97	891.5	24
230	168	71	97	1075.8	26
230	168	71	97	1287.0	28
230	168	71	97	1517.5	30
230	168	71	97	1769.5	32
230	168	71	97	2040.2	34
230	168	71	97	2324.8	36
230	168	71	97	2622.0	38
230	168	71	97	2939.4	40
230	168	71	97	3256.4	42
230	168	71	97	3590.2	44
230	168	71	97	3941.0	46
230	168	71	97	4277.9	48
230	168	71	97	4674.6	50
230	168	71	97	5003.7	52
230	168	71	97	5451.2	54
230	168	71	97	5779.9	56
230	168	71	97	6278.1	58
230	168	71	97	6613.8	60
230	168	71	97	7158.6	62
230	168	71	97	7506.3	64
230	168	71	97	8095.4	66
230	168	71	97	8456.5	68
230	168	71	97	9092.8	70
230	168	71	97	9463.0	72
230	168	71	97	10150.8	74
230	168	71	97	10524.2	76
230	168	71	97	11267.8	78
230	168	71	97	11638.1	80
230	168	71	97	12438.8	82
230	168	71	97	12799.5	84
230	168	71	97	13659.6	86
230	168	71	97	14008.5	88
230	168	71	97	15257.6	92
230	168	71	97	16548.3	96
230	168	71	97	17881.8	100
231	168	71	97	590.1	16
231	168	71	97	886.8	20
231	168	71	97	1245.3	24
231	168	71	97	1669.7	28
231	168	71	97	2161.3	32
231	168	71	97	2314.9	34
231	168	71	97	2716.2	36
231	168	71	97	2949.4	38
231	168	71	97	3331.4	40
231	168	71	97	3643.3	42
231	168	71	97	3997.4	44
231	168	71	97	4397.6	46
231	168	71	97	4708.2	48
231	168	71	97	5196.9	50
231	168	71	97	5466.4	52
231	168	71	97	6034.1	54
231	168	71	97	6275.1	56
231	168	71	97	6920.3	58
231	168	71	97	7137.9	60
231	168	71	97	7859.1	62
231	168	71	97	8048.5	64
231	168	71	97	8853.5	66
231	168	71	97	9001.5	68
232	168	71	97	x	12
232	168	71	97	94.8+x	14
232	168	71	97	220.8+x	16
232	168	71	97	374.1+x	18
232	168	71	97	547.3+x	20
232	168	71	97	751.6+x	22
232	168	71	97	956.4+x	24
232	168	71	97	1212.1+x	26
232	168	71	97	1433.5+x	28
232	168	71	97	1739.4+x	30
232	168	71	97	1968.3+x	32
232	168	71	97	2318.4+x	34
232	168	71	97	2549.2+x	36
232	168	71	97	2928.6+x	38
232	168	71	97	3169.6+x	40
232	168	71	97	3576.6+x	42
232	168	71	97	3833.0+x	44
232	168	71	97	4270.3+x	46
232	168	71	97	4550.2+x	48
232	168	71	97	5020.9+x	50
232	168	71	97	5330.4+x	52
232	168	71	97	5834.9+x	54
232	168	71	97	6176.8+x	56
232	168	71	97	6715.3+x	58
232	168	71	97	7085.8+x	60
232	168	71	97	7653.8+x	62
232	168	71	97	8078.4+x	64
232	168	71	97	8668.3+x	66
232	168	71	97	9096.0+x	68
232	168	71	97	9728.8+x	70
232	168	71	97	10170.0+x	72
232	168	71	97	10828.8+x	74
233	168	71	97	y	16
233	168	71	97	156.5+y	18
233	168	71	97	330.0+y	20
233	168	71	97	534.5+y	22
233	168	71	97	750.0+y	24
233	168	71	97	1002.0+y	26
233	168	71	97	1267.0+y	28
233	168	71	97	1556.0+y	30
233	168	71	97	1852.0+y	32
233	168	71	97	2141.0+y	34
233	168	71	97	2441.8+y	36
233	168	71	97	2741.3+y	38
233	168	71	97	3067.1+y	40
233	168	71	97	3390.4+y	42
233	168	71	97	3747.0+y	44
233	168	71	97	4095.2+y	46
233	168	71	97	4481.9+y	48
233	168	71	97	4855.2+y	50
233	168	71	97	5270.5+y	52
233	168	71	97	5671.0+y	54
233	168	71	97	6115.2+y	56
233	168	71	97	6547.7+y	58
233	168	71	97	7021.3+y	60
233	168	71	97	7488.8+y	62
233	168	71	97	7992.5+y	64
233	168	71	97	8495.8+y	66
233	168	71	97	9022.6+y	68
233	168	71	97	9541.4+y	70
233	168	71	97	10094.4+y	72
233	168	71	97	10586.4+y	74
233	168	71	97	11198.4+y	76
233	168	71	97	11659.0+y	78
233	168	71	97	12339.4+y	80
233	168	71	97	13523.3+y	84
